Input Number, Run_Number, Result@ 100, Y, X, V, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-1, Run: 028, F, 2, 0, 1, 81, 7, 38, 3, 16, 31
INVAR-1, Run: 029, F, 0, 0, 1, 97, 7, 44, 3, 11, 42
INVAR-1, Run: 030, F, 1, 0, 0, 98, 7, 44, 3, 19, 35
INVAR-1, Run: 031, F, 3, 0, 0, 100, 6, 43, 6, 11, 44
INVAR-1, Run: 032, F, 0, 0, 1, 97, 7, 44, 3, 8, 45
INVAR-1, Run: 033, F, 1, 0, 0, 101, 7, 45, 3, 12, 43
INVAR-1, Run: 034, F, 0, 0, 1, 97, 6, 43, 6, 16, 38
INVAR-1, Run: 035, F, 2, 0, 0, 114, 7, 49, 3, 7, 52
INVAR-1, Run: 036, F, 0, 0, 1, 85, 7, 40, 3, 14, 35
INVAR-1, Run: 037, F, 0, 0, 1, 103, 8, 47, 0, 0, 54
INVAR-1, Run: 038, F, 2, 0, 0, 93, 7, 42, 3, 6, 46
INVAR-1, Run: 039, F, 0, 0, 1, 97, 6, 43, 6, 6, 48
INVAR-1, Run: 040, F, 0, 0, 1, 100, 7, 45, 3, 13, 41
INVAR-1, Run: 041, F, 3, 0, 0, 85, 7, 39, 3, 13, 36
INVAR-1, Run: 042, F, 0, 0, 1, 91, 7, 42, 3, 13, 38
INVAR-1, Run: 043, F, 1, 0, 0, 98, 7, 44, 3, 19, 35
INVAR-1, Run: 044, F, 0, 0, 1, 100, 8, 46, 0, 5, 48
INVAR-1, Run: 045, F, 2, 0, 0, 108, 7, 47, 3, 11, 46
INVAR-1, Run: 046, F, 0, 0, 1, 106, 8, 48, 0, 6, 49
INVAR-1, Run: 047, F, 1, 0, 1, 104, 7, 46, 3, 6, 49
INVAR-1, Run: 048, F, 2, 0, 1, 93, 7, 42, 3, 4, 47
INVAR-1, Run: 049, F, 1, 0, 1, 101, 7, 45, 3, 12, 42
INVAR-1, Run: 050, F, 0, 0, 1, 100, 7, 45, 3, 6, 48
INVAR-1, Run: 051, F, 1, 0, 1, 89, 7, 41, 3, 10, 40
INVAR-1, Run: 052, F, 0, 0, 1, 112, 7, 49, 3, 10, 48
INVAR-1, Run: 053, F, 0, 0, 2, 115, 7, 50, 3, 4, 54
INVAR-1, Run: 054, F, 1, 0, 1, 98, 7, 44, 3, 11, 42
INVAR-1, Run: 055, F, 0, 0, 1, 91, 8, 43, 0, 10, 40
INVAR-1, Run: 056, F, 0, 0, 1, 106, 7, 47, 3, 16, 40
INVAR-1, Run: 057, F, 2, 0, 0, 90, 8, 42, 0, 4, 46
INVAR-1, Run: 058, F, 0, 0, 1, 97, 7, 44, 3, 3, 50
INVAR-1, Run: 059, F, 0, 0, 1, 106, 7, 47, 3, 9, 47
INVAR-1, Run: 060, F, 1, 0, 1, 116, 7, 50, 3, 10, 49
INVAR-1, Run: 061, F, 0, 0, 2, 106, 6, 46, 6, 10, 46
INVAR-1, Run: 062, F, 0, 0, 1, 82, 7, 39, 3, 15, 33
INVAR-1, Run: 063, F, 1, 0, 0, 101, 7, 45, 3, 14, 41
INVAR-1, Run: 064, F, 2, 0, 0, 117, 6, 49, 6, 18, 43
INVAR-1, Run: 065, F, 0, 0, 1, 82, 8, 40, 0, 2, 45
