Input Number, Run_Number, Result@ 100, V, Y, X, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-2, Run: 085, F, 0, 0, 1, 6, 19, 20, 2, 40, 1
INVAR-2, Run: 086, F, 13, 0, 0, 8, 20, 20, 0, 14, 13
INVAR-2, Run: 087, F, 30, 0, 0, 5, 20, 21, 0, 5, 6
INVAR-2, Run: 088, F, 0, 0, 2, 4, 19, 21, 1, 36, 5
INVAR-2, Run: 089, F, 0, 0, 1, 6, 19, 20, 2, 31, 10
INVAR-2, Run: 090, F, 0, 0, 1, 6, 19, 20, 2, 38, 3
INVAR-2, Run: 091, F, 0, 0, 2, 4, 19, 21, 1, 35, 6
INVAR-2, Run: 092, F, 11, 0, 0, 5, 20, 21, 0, 25, 5
INVAR-2, Run: 093, F, 0, 0, 1, 6, 19, 20, 2, 35, 6
INVAR-2, Run: 094, F, 0, 0, 2, 7, 19, 20, 1, 35, 5
INVAR-2, Run: 095, F, 0, 0, 2, 4, 19, 21, 1, 35, 6
INVAR-2, Run: 096, F, 30, 0, 0, 5, 20, 21, 0, 6, 5
INVAR-2, Run: 097, F, 28, 0, 0, 8, 20, 20, 0, 8, 4
INVAR-2, Run: 098, F, 0, 0, 1, 3, 19, 21, 2, 38, 4
INVAR-2, Run: 099, F, 0, 0, 1, 9, 19, 19, 2, 29, 11
INVAR-2, Run: 100, F, 27, 0, 0, 8, 20, 20, 0, 4, 9
INVAR-20, Run: 001, P, 0, 0, 1, 0, 30, 0, 0, 30, 0
INVAR-20, Run: 002, P, 0, 0, 1, 0, 30, 0, 0, 30, 0
INVAR-20, Run: 003, P, 0, 0, 1, 0, 30, 0, 0, 30, 0
INVAR-20, Run: 004, P, 0, 0, 1, 0, 30, 0, 0, 30, 0
INVAR-20, Run: 005, P, 0, 0, 1, 0, 30, 0, 0, 30, 0
INVAR-20, Run: 006, P, 0, 0, 1, 0, 30, 0, 0, 30, 0
INVAR-20, Run: 007, P, 0, 0, 1, 0, 30, 0, 0, 30, 0
INVAR-20, Run: 008, P, 0, 0, 1, 0, 30, 0, 0, 30, 0
INVAR-20, Run: 009, P, 0, 0, 1, 0, 30, 0, 0, 30, 0
INVAR-20, Run: 010, P, 0, 0, 1, 0, 30, 0, 0, 30, 0
INVAR-20, Run: 011, P, 0, 0, 1, 0, 30, 0, 0, 30, 0
INVAR-20, Run: 012, P, 0, 0, 1, 0, 30, 0, 0, 30, 0
INVAR-20, Run: 013, P, 0, 0, 1, 0, 30, 0, 0, 30, 0
INVAR-20, Run: 014, P, 0, 0, 1, 0, 30, 0, 0, 30, 0
INVAR-20, Run: 015, P, 0, 0, 1, 0, 30, 0, 0, 30, 0
INVAR-20, Run: 016, P, 0, 0, 1, 0, 30, 0, 0, 30, 0
INVAR-20, Run: 017, P, 0, 0, 1, 0, 30, 0, 0, 30, 0
INVAR-20, Run: 018, P, 0, 0, 1, 0, 30, 0, 0, 30, 0
INVAR-20, Run: 019, P, 0, 0, 1, 0, 30, 0, 0, 30, 0
INVAR-20, Run: 020, P, 0, 0, 1, 0, 30, 0, 0, 30, 0
