Input Number, Run_Number, Result@ 100, X1, H, M, PO, CE, Y, D, CO, A, PE, B, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-10, Run: 041, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 11284, 5182, 100, 505, 4776, 100, 200, 300, 11384, 5182
INVAR-10, Run: 042, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 15541, 6817, 100, 574, 6342, 100, 200, 300, 15641, 6817
INVAR-10, Run: 043, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 14715, 7207, 100, 674, 6632, 100, 200, 300, 14815, 7207
INVAR-10, Run: 044, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 12577, 6252, 100, 604, 5747, 100, 200, 300, 12677, 6252
INVAR-10, Run: 045, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 16786, 7441, 100, 629, 6911, 100, 200, 300, 16886, 7441
INVAR-10, Run: 046, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 13298, 6587, 100, 586, 6100, 100, 200, 300, 13398, 6587
INVAR-10, Run: 047, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 11875, 6214, 100, 652, 5661, 100, 200, 300, 11975, 6214
INVAR-10, Run: 048, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 11013, 5666, 100, 590, 5175, 100, 200, 300, 11113, 5666
INVAR-10, Run: 049, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 17404, 9128, 100, 889, 8338, 100, 200, 300, 17504, 9128
INVAR-10, Run: 050, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 9368, 4572, 100, 472, 4199, 100, 200, 300, 9468, 4572
INVAR-10, Run: 051, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 11175, 5598, 100, 562, 5135, 100, 200, 300, 11275, 5598
INVAR-10, Run: 052, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 14994, 7314, 100, 646, 6767, 100, 200, 300, 15094, 7314
INVAR-10, Run: 053, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 9918, 5001, 100, 536, 4564, 100, 200, 300, 10018, 5001
INVAR-10, Run: 054, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 15003, 6609, 100, 558, 6150, 100, 200, 300, 15103, 6609
INVAR-10, Run: 055, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 11525, 5643, 100, 586, 5156, 100, 200, 300, 11625, 5643
INVAR-10, Run: 056, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 7779, 4145, 100, 469, 3775, 100, 200, 300, 7879, 4145
INVAR-10, Run: 057, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 11469, 5891, 100, 571, 5419, 100, 200, 300, 11569, 5891
INVAR-10, Run: 058, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 10300, 5395, 100, 571, 4923, 100, 200, 300, 10400, 5395
INVAR-10, Run: 059, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 11231, 5609, 100, 504, 5204, 100, 200, 300, 11331, 5609
