Input Number, Run_Number, Result@ 100, X, XP, Z, YP, Reaction1, Reaction2, Reaction3
INVAR-5, Run: 098, E, 0, 0, 104, 34, 70, 104, 70
INVAR-5, Run: 099, E, 0, 0, 113, 43, 70, 113, 70
INVAR-5, Run: 100, E, 0, 0, 111, 41, 70, 111, 70
INVAR-6, Run: 001, E, 0, 101, 192, 0, 192, 91, 91
INVAR-6, Run: 002, E, 0, 94, 192, 0, 192, 98, 98
INVAR-6, Run: 003, E, 0, 94, 192, 0, 192, 98, 98
INVAR-6, Run: 004, E, 0, 84, 192, 0, 192, 108, 108
INVAR-6, Run: 005, E, 0, 91, 192, 0, 192, 101, 101
INVAR-6, Run: 006, E, 0, 79, 192, 0, 192, 113, 113
INVAR-6, Run: 007, E, 0, 76, 192, 0, 192, 116, 116
INVAR-6, Run: 008, E, 0, 88, 192, 0, 192, 104, 104
INVAR-6, Run: 009, E, 0, 80, 192, 0, 192, 112, 112
INVAR-6, Run: 010, E, 0, 102, 192, 0, 192, 90, 90
INVAR-6, Run: 011, E, 0, 93, 192, 0, 192, 99, 99
INVAR-6, Run: 012, E, 0, 84, 192, 0, 192, 108, 108
INVAR-6, Run: 013, E, 0, 89, 192, 0, 192, 103, 103
INVAR-6, Run: 014, E, 0, 97, 192, 0, 192, 95, 95
INVAR-6, Run: 015, E, 0, 85, 192, 0, 192, 107, 107
INVAR-6, Run: 016, E, 0, 90, 192, 0, 192, 102, 102
INVAR-6, Run: 017, E, 0, 102, 192, 0, 192, 90, 90
INVAR-6, Run: 018, E, 0, 77, 192, 0, 192, 115, 115
INVAR-6, Run: 019, E, 0, 86, 192, 0, 192, 106, 106
INVAR-6, Run: 020, E, 0, 101, 192, 0, 192, 91, 91
INVAR-6, Run: 021, E, 0, 83, 192, 0, 192, 109, 109
INVAR-6, Run: 022, E, 0, 83, 192, 0, 192, 109, 109
INVAR-6, Run: 023, E, 0, 95, 192, 0, 192, 97, 97
INVAR-6, Run: 024, E, 0, 90, 192, 0, 192, 102, 102
INVAR-6, Run: 025, E, 0, 92, 192, 0, 192, 100, 100
INVAR-6, Run: 026, E, 0, 73, 192, 0, 192, 119, 119
INVAR-6, Run: 027, E, 0, 87, 192, 0, 192, 105, 105
INVAR-6, Run: 028, E, 0, 97, 192, 0, 192, 95, 95
INVAR-6, Run: 029, E, 0, 81, 192, 0, 192, 111, 111
INVAR-6, Run: 030, E, 0, 66, 192, 0, 192, 126, 126
