Input Number, Run_Number, Result@ 100, X, Y, Z
INVAR-8, Run: 037, F, 186, 0, 0
INVAR-8, Run: 038, F, 182, 0, 0
INVAR-8, Run: 039, F, 182, 0, 0
INVAR-8, Run: 040, F, 191, 0, 0
INVAR-8, Run: 041, F, 200, 0, 0
INVAR-8, Run: 042, F, 189, 0, 0
INVAR-8, Run: 043, F, 182, 0, 0
INVAR-8, Run: 044, F, 184, 0, 0
INVAR-8, Run: 045, F, 188, 0, 0
INVAR-8, Run: 046, F, 184, 0, 0
INVAR-8, Run: 047, F, 191, 0, 0
INVAR-8, Run: 048, F, 173, 0, 0
INVAR-8, Run: 049, F, 182, 0, 0
INVAR-8, Run: 050, F, 194, 0, 0
INVAR-8, Run: 051, F, 179, 0, 0
INVAR-8, Run: 052, F, 196, 0, 0
INVAR-8, Run: 053, F, 206, 0, 0
INVAR-8, Run: 054, F, 190, 0, 0
INVAR-8, Run: 055, F, 207, 0, 0
INVAR-8, Run: 056, F, 197, 0, 0
INVAR-8, Run: 057, F, 196, 0, 0
INVAR-8, Run: 058, F, 186, 0, 0
INVAR-8, Run: 059, F, 201, 0, 0
INVAR-8, Run: 060, F, 200, 0, 0
INVAR-8, Run: 061, F, 178, 0, 0
INVAR-8, Run: 062, F, 186, 0, 0
INVAR-8, Run: 063, F, 199, 0, 0
INVAR-8, Run: 064, F, 199, 0, 0
INVAR-8, Run: 065, F, 200, 0, 0
INVAR-8, Run: 066, F, 202, 0, 0
INVAR-8, Run: 067, F, 194, 0, 0
INVAR-8, Run: 068, F, 207, 0, 0
INVAR-8, Run: 069, F, 189, 0, 0
INVAR-8, Run: 070, F, 179, 0, 0
INVAR-8, Run: 071, F, 183, 0, 0
INVAR-8, Run: 072, F, 186, 0, 0
INVAR-8, Run: 073, F, 195, 0, 0
INVAR-8, Run: 074, F, 188, 0, 0
INVAR-8, Run: 075, F, 194, 0, 0
INVAR-8, Run: 076, F, 196, 0, 0
INVAR-8, Run: 077, F, 190, 0, 0
INVAR-8, Run: 078, F, 199, 0, 0
INVAR-8, Run: 079, F, 206, 0, 0
INVAR-8, Run: 080, F, 203, 0, 0
INVAR-8, Run: 081, F, 182, 0, 0
INVAR-8, Run: 082, F, 183, 0, 0
INVAR-8, Run: 083, F, 184, 0, 0
INVAR-8, Run: 084, F, 186, 0, 0
INVAR-8, Run: 085, F, 194, 0, 0
INVAR-8, Run: 086, F, 205, 0, 0
INVAR-8, Run: 087, F, 194, 0, 0
INVAR-8, Run: 088, F, 185, 0, 0
INVAR-8, Run: 089, F, 188, 0, 0
INVAR-8, Run: 090, F, 196, 0, 0
INVAR-8, Run: 091, F, 199, 0, 0
INVAR-8, Run: 092, F, 186, 0, 0
INVAR-8, Run: 093, F, 182, 0, 0
INVAR-8, Run: 094, F, 201, 0, 0
INVAR-8, Run: 095, F, 183, 0, 0
INVAR-8, Run: 096, F, 179, 0, 0
INVAR-8, Run: 097, F, 195, 0, 0
INVAR-8, Run: 098, F, 173, 0, 0
INVAR-8, Run: 099, F, 190, 0, 0
INVAR-8, Run: 100, F, 201, 0, 0
INVAR-9, Run: 001, F, 293, 0, 0
INVAR-9, Run: 002, F, 298, 0, 0
INVAR-9, Run: 003, F, 296, 0, 0
INVAR-9, Run: 004, F, 300, 0, 0
INVAR-9, Run: 005, F, 299, 0, 0
INVAR-9, Run: 006, F, 283, 0, 0
INVAR-9, Run: 007, F, 295, 0, 0
INVAR-9, Run: 008, F, 298, 0, 0
INVAR-9, Run: 009, F, 298, 0, 0
INVAR-9, Run: 010, F, 296, 0, 0
INVAR-9, Run: 011, F, 312, 0, 0
INVAR-9, Run: 012, F, 288, 0, 0
INVAR-9, Run: 013, F, 281, 0, 0
