Input Number, Run_Number, Result@ 100, U, X1, X2, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4
INVAR-12, Run: 035, P, 0, 7, 0, 0, 0, 0, 0, 0
INVAR-12, Run: 036, P, 0, 7, 0, 0, 0, 0, 0, 0
INVAR-12, Run: 037, P, 0, 7, 0, 0, 0, 0, 0, 0
INVAR-12, Run: 038, P, 0, 7, 0, 0, 0, 0, 0, 0
INVAR-12, Run: 039, P, 0, 7, 0, 0, 0, 0, 0, 0
INVAR-12, Run: 040, P, 0, 7, 0, 0, 0, 0, 0, 0
INVAR-12, Run: 041, P, 0, 7, 0, 0, 0, 0, 0, 0
INVAR-12, Run: 042, P, 0, 7, 0, 0, 0, 0, 0, 0
INVAR-12, Run: 043, P, 0, 7, 0, 0, 0, 0, 0, 0
INVAR-12, Run: 044, P, 0, 7, 0, 0, 0, 0, 0, 0
INVAR-12, Run: 045, P, 0, 7, 0, 0, 0, 0, 0, 0
INVAR-12, Run: 046, P, 0, 7, 0, 0, 0, 0, 0, 0
INVAR-12, Run: 047, P, 0, 7, 0, 0, 0, 0, 0, 0
INVAR-12, Run: 048, P, 0, 7, 0, 0, 0, 0, 0, 0
