Input Number, Run_Number, Result@ 100, A, CO, D, X1, H, M, PO, CE, Y, PE, B
INVAR-3, Run: 046, P, 74, 0, 0, 0, 0, 0, 0, 291, 500, 1, 0
INVAR-3, Run: 047, F, 2, 0, 0, 0, 0, 0, 0, 327, 572, 1, 0
INVAR-3, Run: 048, P, 10, 0, 0, 0, 0, 0, 0, 323, 564, 1, 0
INVAR-3, Run: 049, P, 12, 0, 0, 0, 0, 0, 0, 322, 562, 1, 0
INVAR-3, Run: 050, P, 6, 0, 0, 0, 0, 0, 0, 325, 568, 1, 0
INVAR-3, Run: 051, P, 10, 0, 0, 0, 0, 0, 0, 323, 564, 1, 0
INVAR-3, Run: 052, P, 72, 0, 0, 0, 0, 0, 0, 292, 502, 1, 0
INVAR-3, Run: 053, P, 60, 0, 0, 0, 0, 0, 0, 298, 514, 1, 0
INVAR-3, Run: 054, P, 24, 0, 0, 0, 0, 0, 0, 316, 550, 1, 0
INVAR-3, Run: 055, P, 8, 0, 0, 0, 0, 0, 0, 324, 566, 1, 0
INVAR-3, Run: 056, P, 12, 0, 0, 0, 0, 0, 0, 322, 562, 1, 0
INVAR-3, Run: 057, F, 4, 0, 0, 0, 0, 0, 0, 326, 570, 1, 0
INVAR-3, Run: 058, P, 26, 0, 0, 0, 0, 0, 0, 315, 548, 1, 0
INVAR-3, Run: 059, P, 24, 0, 0, 0, 0, 0, 0, 316, 550, 1, 0
INVAR-3, Run: 060, P, 6, 0, 0, 0, 0, 0, 0, 325, 568, 1, 0
INVAR-3, Run: 061, P, 18, 0, 0, 0, 0, 0, 0, 319, 556, 1, 0
INVAR-3, Run: 062, P, 26, 0, 0, 0, 0, 0, 0, 315, 548, 1, 0
INVAR-3, Run: 063, P, 24, 0, 0, 0, 0, 0, 0, 316, 550, 1, 0
INVAR-3, Run: 064, P, 88, 0, 0, 0, 0, 0, 0, 284, 486, 1, 0
INVAR-3, Run: 065, P, 66, 0, 0, 0, 0, 0, 0, 295, 508, 1, 0
INVAR-3, Run: 066, P, 24, 0, 0, 0, 0, 0, 0, 316, 550, 1, 0
INVAR-3, Run: 067, P, 18, 0, 0, 0, 0, 0, 0, 319, 556, 1, 0
INVAR-3, Run: 068, P, 32, 0, 0, 0, 0, 0, 0, 312, 542, 1, 0
INVAR-3, Run: 069, P, 50, 0, 0, 0, 0, 0, 0, 303, 524, 1, 0
INVAR-3, Run: 070, P, 18, 0, 0, 0, 0, 0, 0, 319, 556, 1, 0
INVAR-3, Run: 071, F, 4, 0, 0, 0, 0, 0, 0, 326, 570, 1, 0
INVAR-3, Run: 072, P, 12, 0, 0, 0, 0, 0, 0, 322, 562, 1, 0
INVAR-3, Run: 073, P, 30, 0, 0, 0, 0, 0, 0, 313, 544, 1, 0
INVAR-3, Run: 074, P, 40, 0, 0, 0, 0, 0, 0, 308, 534, 1, 0
INVAR-3, Run: 075, P, 56, 0, 0, 0, 0, 0, 0, 300, 518, 1, 0
INVAR-3, Run: 076, P, 80, 0, 0, 0, 0, 0, 0, 288, 494, 1, 0
INVAR-3, Run: 077, F, 2, 0, 0, 0, 0, 0, 0, 327, 572, 1, 0
INVAR-3, Run: 078, P, 18, 0, 0, 0, 0, 0, 0, 319, 556, 1, 0
INVAR-3, Run: 079, P, 72, 0, 0, 0, 0, 0, 0, 292, 502, 1, 0
INVAR-3, Run: 080, P, 26, 0, 0, 0, 0, 0, 0, 315, 548, 1, 0
INVAR-3, Run: 081, P, 26, 0, 0, 0, 0, 0, 0, 315, 548, 1, 0
INVAR-3, Run: 082, P, 42, 0, 0, 0, 0, 0, 0, 307, 532, 1, 0
INVAR-3, Run: 083, P, 50, 0, 0, 0, 0, 0, 0, 303, 524, 1, 0
INVAR-3, Run: 084, P, 106, 0, 0, 0, 0, 0, 0, 275, 468, 1, 0
INVAR-3, Run: 085, P, 6, 0, 0, 0, 0, 0, 0, 325, 568, 1, 0
INVAR-3, Run: 086, P, 22, 0, 0, 0, 0, 0, 0, 317, 552, 1, 0
INVAR-3, Run: 087, F, 4, 0, 0, 0, 0, 0, 0, 326, 570, 1, 0
INVAR-3, Run: 088, P, 66, 0, 0, 0, 0, 0, 0, 295, 508, 1, 0
INVAR-3, Run: 089, P, 126, 0, 0, 0, 0, 0, 0, 265, 448, 1, 0
INVAR-3, Run: 090, P, 42, 0, 0, 0, 0, 0, 0, 307, 532, 1, 0
INVAR-3, Run: 091, F, 2, 0, 0, 0, 0, 0, 0, 327, 572, 1, 0
INVAR-3, Run: 092, P, 8, 0, 0, 0, 0, 0, 0, 324, 566, 1, 0
INVAR-3, Run: 093, P, 66, 0, 0, 0, 0, 0, 0, 295, 508, 1, 0
INVAR-3, Run: 094, P, 8, 0, 0, 0, 0, 0, 0, 324, 566, 1, 0
INVAR-3, Run: 095, F, 4, 0, 0, 0, 0, 0, 0, 326, 570, 1, 0
INVAR-3, Run: 096, P, 50, 0, 0, 0, 0, 0, 0, 303, 524, 1, 0
INVAR-3, Run: 097, P, 6, 0, 0, 0, 0, 0, 0, 325, 568, 1, 0
INVAR-3, Run: 098, F, 4, 0, 0, 0, 0, 0, 0, 326, 570, 1, 0
INVAR-3, Run: 099, F, 2, 0, 0, 0, 0, 0, 0, 327, 572, 1, 0
INVAR-3, Run: 100, P, 66, 0, 0, 0, 0, 0, 0, 295, 508, 1, 0
INVAR-4, Run: 001, F, 0, 2, 77, 0, 1, 0, 1, 0, 60, 0, 1
INVAR-4, Run: 002, F, 0, 2, 77, 0, 1, 0, 1, 0, 60, 0, 1
INVAR-4, Run: 003, F, 0, 0, 78, 0, 1, 0, 1, 0, 59, 0, 1
INVAR-4, Run: 004, F, 0, 2, 77, 0, 1, 0, 1, 0, 60, 0, 1
