Input Number, Run_Number, Result@ 100, CO, PE, B, X1, H, M, PO, CE, Y, D, A
INVAR-2, Run: 073, P, 22, 0, 0, 0, 0, 0, 0, 1, 37, 27, 118
INVAR-2, Run: 074, P, 2, 0, 1, 0, 0, 0, 0, 5, 20, 23, 141
INVAR-2, Run: 075, P, 46, 0, 0, 0, 0, 0, 0, 0, 62, 28, 90
INVAR-2, Run: 076, P, 36, 0, 1, 0, 0, 0, 0, 0, 51, 28, 103
INVAR-2, Run: 077, P, 7, 0, 1, 0, 0, 0, 0, 2, 26, 26, 128
INVAR-2, Run: 078, P, 122, 0, 1, 0, 0, 0, 0, 0, 135, 28, 21
INVAR-2, Run: 079, P, 63, 0, 1, 0, 0, 0, 0, 0, 78, 28, 76
INVAR-2, Run: 080, P, 4, 0, 0, 0, 0, 0, 0, 3, 21, 25, 136
INVAR-2, Run: 081, P, 0, 1, 1, 0, 0, 0, 0, 28, 43, 0, 139
INVAR-2, Run: 082, P, 37, 0, 0, 0, 0, 0, 0, 0, 55, 28, 95
INVAR-2, Run: 083, P, 126, 0, 1, 0, 0, 0, 0, 0, 141, 28, 13
INVAR-2, Run: 084, P, 34, 0, 1, 0, 0, 0, 0, 1, 50, 27, 105
