Input Number, Run_Number, Result@ 100, Y, X1, H, M, PO, CE, D, CO, PE, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-10, Run: 004, F, 0, 0, 0, 0, 0, 100, 0, 4, 1, 596, 0, 104, 200, 769, 4492, 100, 56, 43, 100, 200, 300, 869, 4496
INVAR-10, Run: 005, F, 0, 0, 0, 0, 0, 100, 0, 161, 1, 439, 0, 261, 200, 773, 5098, 100, 62, 37, 100, 200, 300, 873, 5259
INVAR-10, Run: 006, F, 0, 0, 0, 0, 0, 100, 0, 4, 1, 596, 0, 104, 200, 837, 4901, 100, 54, 45, 100, 200, 300, 937, 4905
INVAR-10, Run: 007, F, 0, 0, 0, 0, 0, 100, 0, 43, 1, 557, 0, 143, 200, 844, 4785, 100, 66, 33, 100, 200, 300, 944, 4828
INVAR-10, Run: 008, F, 0, 0, 0, 0, 0, 100, 0, 263, 1, 337, 0, 363, 200, 683, 4251, 100, 62, 37, 100, 200, 300, 783, 4514
INVAR-10, Run: 009, F, 0, 0, 0, 0, 0, 100, 0, 90, 1, 510, 0, 190, 200, 643, 3925, 100, 66, 33, 100, 200, 300, 743, 4015
INVAR-10, Run: 010, F, 0, 0, 0, 0, 0, 100, 0, 0, 1, 600, 0, 100, 200, 896, 3869, 100, 59, 40, 100, 200, 300, 996, 3869
INVAR-10, Run: 011, F, 0, 0, 0, 0, 0, 100, 0, 327, 1, 273, 0, 427, 200, 787, 4620, 100, 62, 37, 100, 200, 300, 887, 4947
INVAR-10, Run: 012, F, 0, 0, 0, 0, 0, 100, 0, 141, 1, 459, 0, 241, 200, 671, 4223, 100, 60, 39, 100, 200, 300, 771, 4364
INVAR-10, Run: 013, F, 0, 0, 0, 0, 0, 100, 0, 0, 1, 600, 0, 100, 200, 679, 4676, 100, 68, 31, 100, 200, 300, 779, 4676
INVAR-10, Run: 014, F, 0, 0, 0, 0, 0, 100, 0, 217, 1, 383, 0, 317, 200, 745, 4949, 100, 60, 39, 100, 200, 300, 845, 5166
INVAR-10, Run: 015, F, 0, 0, 0, 0, 0, 100, 0, 140, 1, 460, 0, 240, 200, 689, 4091, 100, 66, 33, 100, 200, 300, 789, 4231
INVAR-10, Run: 016, F, 0, 0, 0, 0, 0, 100, 0, 190, 1, 410, 0, 290, 200, 773, 4822, 100, 56, 43, 100, 200, 300, 873, 5012
INVAR-10, Run: 017, F, 0, 0, 0, 0, 0, 100, 0, 123, 1, 477, 0, 223, 200, 829, 4517, 100, 68, 31, 100, 200, 300, 929, 4640
INVAR-10, Run: 018, F, 0, 0, 0, 0, 0, 100, 0, 281, 1, 319, 0, 381, 200, 930, 5036, 100, 59, 40, 100, 200, 300, 1030, 5317
INVAR-10, Run: 019, F, 0, 0, 0, 0, 0, 100, 0, 50, 1, 550, 0, 150, 200, 934, 4671, 100, 61, 38, 100, 200, 300, 1034, 4721
